ID	apKa1	bpKa1	atoms
3232868		8.68	25
3232869		1.17	13
3232870	15.70	1.59	3,5
3232871	19.47	4.78	18,17
3232872	17.44	4.24	11,18
3232873	19.31	9.98	22,26
3232876		1.53	10
3232879		-0.14	13
3232881	15.73	9.34	17,2
3232884	12.73	0.50	13,10
3232885		4.99	10
3232886	9.57	5.09	25,16
3232887		4.24	10
3232888		6.11	12
3232890	19.04	6.55	15,18
3232893	16.98	5.08	9,13
3232894	18.41	4.68	10,18
3232895	18.50	4.62	14,13
3232896		3.22	22
3232897		6.44	4
3232898	15.71	1.59	3,5
3232899		1.48	5
3232900		1.41	17
3232901	18.52	4.92	13,19
3232903	15.36	4.97	4,15
3232904	18.67	4.76	9,13
3232905		9.18	5
3232907	19.44	9.98	19,23
3232908	15.32	4.07	14,10
3232909		4.38	11
3232911		7.13	16
3232914		6.44	4
3232915	17.93	9.35	17,2
3232916		9.18	2
3232917	9.25	4.71	5,13
3232918		4.14	11
3232919		3.22	22
3232920	17.44	4.87	11,18
3232921		9.47	14
3232923		-0.38	8
3232924		-1.70	11
3232925	9.26	5.00	22,13
3232928		7.59	2
3232929	15.71	1.62	3,5
3232930	12.87	-2.05	8,10
3232932		7.13	12
3232934	18.79	5.55	15,10
3232935	15.66	1.39	3,5
3232936	18.34	4.76	19,18
3232937		9.47	16
3232939		8.72	23
3232940	15.01	4.73	21,17
3232941	12.70	0.42	22,19
3232942	18.02	5.27	13,9
3232943		-1.03	13
3232945		4.67	17
3232946	15.77	1.64	3,5
3232947		8.99	22
3232948		1.35	14
3232949	17.44	4.97	24,10
3232950		-0.82	20
3232951		9.47	14
3232952	15.71	1.59	3,5
3232953		4.99	12
3232954	13.50	7.30	22,20
3232956		-0.76	4
3232957		9.89	5
3232958	15.73	4.29	15,11
3232960	16.94	5.07	9,13
3232962	18.49	9.29	17,2
3232963		7.13	2
3232964	14.04	-1.83	9,11
3232965	15.71	1.44	3,5
3232966		9.18	2
3232967		7.13	12
3232968		-0.13	13
3232969	12.70	0.41	12,9
3232971	15.14	4.77	4,15
3232972	18.64	4.82	10,14
3232974		-1.72	14
3232975	17.47	5.11	9,13
3232976	15.75	1.63	3,5
3232977		6.44	4
3232978		-0.85	8
3232979	17.79	4.98	8,12
3232980		-0.97	8
3232981		4.73	12
3232982	18.13	5.20	16,12
3232983	15.44	9.35	4,21
3232984		8.82	17
3232985		0.05	12
3232986		-1.72	19
3232987		1.31	5
3232989	18.67	5.17	10,14
3232990		5.28	7
3232991		-0.13	13
3232992	18.49	9.29	17,2
3232993		1.35	14
3232996	17.44	4.16	11,18
3232997		1.28	5
3232998		0.11	10
3232999		1.46	5
3233000		5.69	13
3233002		8.82	16
3233003		8.68	16
3233004		5.69	12
3233006	9.69	4.77	26,17
3233007	18.51	4.77	22,21
3233008		-0.77	21
3233009		-0.88	16
3233011		-1.68	21
3233012		4.66	16
3233013		1.49	5
3233014		1.52	5
3233015		-1.71	19
3233016	18.64	4.82	12,16
3233017		4.64	16
3233018	18.84	4.91	9,13
3233019	13.05	-1.26	15,3
3233021		3.23	20
3233022		-0.26	19
3233023		-0.82	18
3233024	15.75	1.64	3,5
3233025	15.67	1.40	3,5
3233026	18.00	9.18	21,2
3233027		9.18	14
3233028	19.84	6.56	13,16
3233029		9.42	2
3233030	18.46	4.89	22,13
3233031	17.98	5.27	18,14
3233032	18.16	5.09	9,13
3233033	9.25	5.49	16,7
3233039		-0.40	8
3233041		6.28	24
3233042	13.06	-1.22	22,8
3233043	18.21	4.93	13,8
3233044	9.57	4.30	5,14
3233045	17.27	4.68	9,17
3233046		-0.97	21
3233047		4.63	16
3233048	18.45	9.18	21,2
3233049	16.99	5.08	14,10
3233050	17.85	4.98	15,11
3233051		8.82	8
3233052		5.68	13
3233053		4.98	23
3233054		-0.74	6
3233056	13.14	0.42	7,9
3233057	17.89	9.42	21,2
3233059	12.70	0.40	9,11
3233061		7.63	15
3233062		-0.64	8
3233063		8.68	23
3233065		-0.62	8
3233066		-1.70	13
3233067		0.06	9
3233068		7.59	2
3233069	18.73	5.56	12,16
3233070		0.08	15
3233071		4.83	12
3233072	15.40	4.76	4,15
3233073		3.61	23
3233074	18.72	5.42	18,13
3233075		9.18	20
3233076		0.05	15
3233077	18.00	9.35	17,2
3233078	16.65	4.96	9,13
3233081	17.30	4.75	9,17
3233082	12.87	-1.03	21,9
3233084		6.30	16
3233085		5.28	17
3233087	15.36	5.05	4,15
3233089	12.75	0.50	9,11
3233090		1.52	6
3233091		-0.81	19
3233092		0.10	6
3233093		10.07	15
3233094	18.81	4.96	8,12
3233095	17.50	5.07	15,11
3233096	15.71	1.59	3,5
3233097		-0.46	4
3233098		5.69	13
3233099	13.42	-2.26	7,9
3233100	9.47	4.78	22,13
3233101	19.28	9.98	18,22
3233104		-0.37	8
3233105		1.52	10
3233106	17.44	5.52	11,18
3233107		8.68	15
3233109	19.92	6.64	16,19
3233111	13.06	-1.03	7,22
3233112	12.75	0.51	9,11
3233113		5.00	11
3233114	13.05	-0.70	7,23
3233115		-1.71	9
3233116		3.23	21
3233117		4.17	10
3233119		-0.40	8
3233120	18.46	4.95	10,18
3233121	18.83	4.91	22,13
3233122		8.68	12
3233124		5.29	10
3233127		-1.70	11
3233128	17.44	9.29	22,2
3233133		1.41	17
3233134		-0.73	6
3233135	9.38	8.64	5,25
3233139		0.05	12
3233140		1.16	11
3233141	13.14	0.39	20,17
3233144		7.82	2
3233145	18.67	9.98	13,17
3233146	15.64	4.19	15,11
3233147	17.93	9.35	17,2
3233149		9.42	20
3233150	16.05	3.80	14,13
2474854	17.96	4.68	17,10
3233151	18.81	4.82	9,13
3233153		0.14	10
3233154		5.08	2
3233155	16.01	2.47	14,13
3233156	17.44	3.45	23,9
3233157	18.42	4.24	12,16
3233158		8.68	10
3233159		4.89	6
3233160		0.11	10
3233161	13.50	7.30	20,18
3233162		1.48	5
3233163	19.60	6.48	13,16
3233164		8.68	15
3233165		-0.36	8
3233166		1.48	5
3233167	9.26	6.80	5,25
3233168		8.68	21
3233169		-0.81	6
3233170		-1.72	17
3233171		-0.81	13
3233172	12.87	-2.40	22,21
805524	19.55	6.80	17,20
3233173	15.67	1.41	3,5
3233174	12.75	0.49	9,11
3233175		4.74	10
3233177		0.05	14
3233178		0.05	16
3233179		-1.72	21
3233180	15.45	4.78	4,15
3233182		-0.82	20
3233184		1.33	5
3233185	18.92	5.80	9,13
3233186		0.10	6
3233187	18.57	5.03	14,20
3233188	9.26	4.96	26,17
3233190	13.50	7.30	20,18
3233192	17.90	5.12	9,13
3233193	12.70	0.41	12,9
3233194		1.43	10
3233195		-0.42	8
3233196		-1.73	11
3233197	17.44	4.75	9,13
3233199		1.37	9
3233201	13.42	-0.69	23,10
3233202		4.85	12
3233203		5.69	11
3233205		8.68	21
3233206	17.59	4.89	9,13
3233207		-1.68	8
3233208		0.05	12
3233209		1.48	5
3233210		8.54	8
3233211		-0.50	18
3233212		8.68	23
3233213		7.59	2
3233215		6.44	4
3233217		-1.71	17
3233219		8.68	25
3233220		1.51	10
3233221	15.19	0.84	23,6
3233222	15.74	1.63	3,5
3233224		3.84	9
3233225	18.89	5.48	8,12
3233226	17.44	9.18	26,2
3233227	15.77	4.30	7,11
3233228	19.44	6.57	18,21
3233229	15.68	5.12	17,10
3233230	15.71	1.62	3,5
3233231		0.10	6
3233232	9.57	5.12	27,18
3233234	18.62	9.18	21,2
3233237		0.06	19
3233238		5.68	13
3233239	15.71	1.65	3,5
3233241	15.45	4.80	4,15
3233244		-0.97	4
3233245		9.42	2
3233246		7.12	2
3233247	18.00	5.09	10,14
3233248	19.61	6.80	19,22
3233249		-0.34	8
3233251		-0.83	18
3233252		1.55	5
3233253	13.42	-0.62	7,21
3233254	17.44	5.13	11,18
3233256		1.44	18
3233257	17.44	4.81	11,22
3233258	9.57	5.09	5,14
3233259		-0.64	8
3233260		8.68	25
3233261	18.40	5.08	17,23
3233262	12.70	0.45	9,6
3233263		7.13	2
3233264		7.13	2
3233267		7.13	16
3233271	18.72	5.46	15,10
3233272	15.71	1.61	3,5
3233274	19.59	6.48	13,16
3233275		1.52	5
3233276		4.65	16
3233277		8.47	8
3233281		7.12	2
3233283	18.04	4.99	5,9
3233284	18.77	4.31	5,13
3233286		-1.70	11
3233287	17.69	4.98	12,16
3233288		7.12	2
3233289		7.13	2
3233290		7.58	21
3233291	15.71	1.65	3,5
3233294	18.46	4.93	19,10
3233295	13.19	0.55	13,11
3233296	13.05	-0.83	7,20
3233299		8.68	12
3233301		-0.45	18
3233302	18.83	9.18	21,2
3233306	9.69	3.95	5,21
3233307		7.56	17
3233308		8.72	23
3233310		-0.77	19
3233312	19.11	6.55	14,17
3233313		1.52	6
3233314	18.40	4.83	14,20
3233315	16.91	5.06	9,13
3233316	9.26	4.98	29,20
3233317		-0.79	8
3233318		-0.77	8
3233319		-0.36	8
3233320		9.29	2
3233321	12.87	-0.82	8,23
3233323		-1.74	21
3233324		-0.47	19
3233328		-1.92	13
3233329	12.87	-2.72	16,15
3233330		5.47	19
3233331	17.96	4.17	18,10
3233333		7.78	17
3233334	17.44	5.31	25,11
3233336		0.12	10
3233338		5.47	18
3233340		1.17	13
3233341	9.69	5.09	5,28
3233342	16.93	9.35	9,23
3233343		10.32	19
3233344	19.84	5.49	3,12
3233346		7.13	2
3233348		-1.71	11
3233350	9.69	4.66	25,16
3233351	12.87	3.37	8,27
3233352		-1.71	14
3233354		4.84	10
3233355		-1.71	11
3233356	13.42	-2.57	17,16
3233357	13.19	0.50	7,9
3233358		6.30	16
3233359		1.21	10
3233360		4.14	13
3233361		3.17	13
3233363	18.86	5.29	20,11
3233364		-1.73	11
3233366	13.42	-1.96	7,9
3233368		7.13	2
3233369	19.30	9.98	17,21
3233370	17.32	5.00	13,9
3233372	13.19	0.49	7,9
3233373		0.06	9
3233374	18.10	5.08	15,11
3233375		-1.71	13
3233376		8.68	2
3233378		5.03	15
3233379		-1.70	11
3233380		-0.47	4
3233382	17.34	5.02	13,9
3233383		7.13	12
3233384		1.41	10
3233386		4.00	9
3233388	9.26	4.97	5,13
3233389		7.82	21
3233390		-0.77	11
3233391	18.66	9.29	9,23
3233392	9.51	10.16	5,26
3233393	15.04	4.20	4,15
3233394		7.12	2
3233395		8.49	10
3233396	19.84	5.69	3,13
3233397		1.47	5
3233401		8.68	16
3233402		-0.13	13
3233403	13.19	0.52	20,18
3233408		8.68	21
3233412	17.44	5.05	11,29
3233413	15.70	1.61	3,5
3233417	19.61	4.81	18,9
3233418	12.70	0.41	9,11
3233420		0.05	12
3233421		8.74	8
3233423		9.11	5
3233424		-1.67	6
3233426	19.88	9.18	17,2
3233427		-0.73	19
3233428		8.68	17
3233429	17.94	4.42	16,10
3233430		9.11	18
3233431	15.75	1.64	3,5
3233432		5.25	11
3233433	15.40	3.44	21,9
3233434		8.26	2
3233435	18.51	4.91	13,19
3233436		-0.98	4
3233437		4.66	11
3233438	15.78	1.67	3,5
3233439		5.47	13
3233440	18.46	4.93	19,10
3233441		1.35	12
3233446		8.68	23
3233447	18.67	4.62	14,13
3233448	17.48	5.07	18,14
3233449		4.28	10
3233450	15.52	4.79	4,15
3233451		-1.04	13
3233454	18.90	5.56	8,12
3233455	18.70	5.12	16,15
3233456		0.07	15
3233458	9.57	4.30	5,14
3233459		-0.85	11
3233460	17.69	5.20	8,12
3233462	15.71	1.60	3,5
3233463	19.60	4.94	19,10
3233464	19.30	9.98	17,21
3233466		1.38	13
3233467	18.84	5.17	9,13
3233468		7.94	18
3233469	12.70	0.45	9,6
3233470		-0.73	6
3233471	13.42	3.37	7,24
3233472		1.54	5
3233474	13.42	-0.81	7,22
3233475		8.68	19
3233477	19.45	4.75	16,15
3233478		1.48	5
3233479	15.53	4.19	7,11
3233482		1.45	5
3233483	17.29	4.73	9,17
3233484		7.13	2
3233485		-0.47	15
3233486		7.59	2
3233487		8.68	17
3233488	17.92	5.08	18,14
3233490		3.23	20
3233491		1.41	6
3233492		0.09	6
3233494		-0.76	4
3233495		1.38	15
3233497		8.76	16
3233498		4.51	13
3233499		7.57	2
3233500	16.71	4.96	9,13
3233504		7.13	2
3233506		7.49	2
3233507	18.34	4.77	10,18
3233508		8.76	22
3233509		-0.77	11
3233510		-0.73	6
3233511	14.04	-1.14	20,8
3233514	19.45	4.75	19,18
3233516		5.27	13
3233517		4.10	12
3233518	18.67	4.91	10,14
3233520	15.65	5.36	17,9
3233522	12.70	0.41	12,9
3233524		8.76	20
3233527		-0.51	10
