ID	apKa1	bpKa1	atoms
85270358	14.13	-0.95	9,8
85270357	8.75	1.26	25,18
85270353	9.42	2.20	9,18
85270351	13.76	-1.25	22,21
85270348	12.43	-3.64	8,10
85270347	13.12	1.22	18,31
85270346	13.89	1.79	7,14
85270344	11.78	1.24	19,20
85270343	17.25	-4.87	2,17
85270341	11.24	0.88	12,7
85270340	12.83	-1.57	19,13
85270336	9.22	0.20	16,14
85270333	10.15	-4.83	19,2
85270327	10.81	0.51	7,4
85270324	11.98	-4.87	24,13
85270321	13.95	-1.04	9,11
85270318	13.62	-3.68	16,15
85270317	8.71	4.73	21,23
85270314	10.22	-6.20	34,15
85270307	13.18	-4.14	11,24
85270306	10.02	-4.01	16,14
85270302	8.01	-4.73	13,22
85270301	12.25	-5.62	12,14
85270297	9.99	-5.46	17,16
85270295	18.74	-2.79	12,15
85270293	13.30	-3.45	11,25
85270292	11.28	-0.44	15,22
85270290	8.11	1.52	13,15
85270289	14.10	-4.41	9,2
85270287	9.37	-4.30	6,9
85270283	12.50	-3.17	16,27
85270281	10.01	0.77	11,13
85270279	13.58	-6.39	14,13
85270276	13.05	-4.43	15,7
85270274	12.50	2.00	15,8
85270266	12.18	-1.11	15,7
85270264	13.59	-5.68	17,11
85270262	10.83	-7.09	8,14
85270258	18.42	-6.69	13,16
85270255	18.71	-2.76	13,11
85270249	12.50	-5.13	17,7
85270243	19.48	-6.07	9,8
85270241	14.97	2.44	9,21
85270234	8.67	0.04	7,3
85270232	12.62	3.23	20,6
85270229	12.62	4.01	25,12
85270228	10.26	-7.09	27,12
85270221		5.08	26
85270218	14.24	-6.36	13,12
85270216	12.12	3.36	11,17
85270215	11.82	-0.08	9,8
85270214	7.90	3.94	9,24
85270212	7.62	3.79	7,22
85270211	12.78	-4.94	18,10
85270210	11.42	0.25	5,18
85270209	18.46	-6.30	14,13
85270205	11.77	-0.78	14,15
85270203	7.72	0.00	8,9
85270202	12.51	-0.32	19,27
85270200	10.06	-4.87	5,26
85270192	13.71	-2.87	11,21
85270191	13.74	-5.47	13,12
85270189		1.32	14
85270188	13.24	-6.76	8,10
85270187	12.63	-4.62	13,24
85270186	16.58	-4.12	16,22
85270182	18.82	-3.59	9,11
85270178		-0.17	10
85270176		3.20	3
85270173	12.78	-3.75	24,26
85270171	12.45	-5.63	13,23
85270170	7.64	-3.05	11,19
85270169	11.63	2.14	16,22
85270164	8.57	-4.00	23,22
85270160	11.90	-1.36	13,10
85270158	11.50	4.06	15,9
85270155	10.15	-1.70	12,26
85270145	8.85	-4.19	22,8
85270138	10.29	1.53	13,6
85270136	12.91	2.00	15,8
85270135	12.97	-2.81	15,6
85270132	9.02	1.96	11,4
85270128	14.27	-5.71	5,4
85270124	12.82	-1.74	6,20
85270122	14.38	-0.76	14,13
85270121	10.63	-6.87	9,8
85270119	9.59	5.75	13,4
85270113	13.47	-4.42	4,3
85270112	14.94	3.35	16,23
85270110	16.20	-1.99	14,11
85270105	8.94	-3.05	5,13
85270101	7.85	-0.37	7,10
85270100	12.60	1.72	9,8
85270094	13.46	-1.25	7,13
85270086	13.22	-4.48	14,18
85270082		4.37	10
85270072	11.51	-5.16	12,10
85270067	13.62	-3.12	23,11
85270062	8.77	-2.95	12,23
85270052	10.66	-4.65	13,7
85270049	12.15	-4.89	5,14
85270043	10.12	0.87	14,23
85270041	12.07	-1.78	15,22
85270033	12.46	-6.50	21,23
85270031	14.56	-5.19	13,23
85270028	11.32	-1.36	8,21
85270021	10.80	-4.58	18,2
85270020	11.83	-1.10	6,21
85270018	12.59	-4.84	17,8
85270017		-2.79	14
85270016	10.65	1.96	11,4
85270014	11.08	0.62	15,20
85270011		-0.69	6
85270009	9.41	-0.01	20,7
85270004	18.75	1.91	16,20
85270002	13.67	-6.92	16,12
85269998	9.67	-0.67	15,5
85269995	13.71	-1.57	15,3
85269993	14.82	1.99	21,6
85269991	9.77	-1.22	13,10
85269986	11.65	0.55	11,20
85269980	8.66	-4.83	21,19
85269979	11.56	2.87	8,5
85269978	10.22	-1.87	31,18
85269975	14.72	6.17	14,22
85269974	12.16	-2.87	9,22
85269973	13.14	-4.88	9,17
85269972	11.60	6.43	4,26
85269971	8.76	3.84	7,23
85269969	18.47	-5.25	10,19
85269964	13.21	-4.83	10,2
85269958	16.70	-4.84	13,25
85269956	11.93	-4.21	5,8
85269952	12.45	-5.62	15,25
85269947	10.22	-1.51	6,9
85269946	9.10	-2.43	13,8
85269945	9.33	5.05	14,9
85269942	8.86	3.28	10,6
85269939	16.57	-1.36	16,26
85269938	13.62	-7.08	19,10
85269931	11.19	2.08	8,19
85269927	8.85	-2.87	23,6
85269926	12.26	4.14	7,14
85269925	11.36	5.67	15,11
85269922	10.13	-1.23	16,22
85269912	13.62	-7.08	4,11
85269911	18.73	-1.77	10,7
85269909	12.82	-6.90	9,26
85269903	10.75	-1.11	16,15
85269900	12.33	-2.69	13,19
85269898	13.23	-1.84	16,18
85269894	14.51	-0.15	14,10
85269893	13.16	-7.11	9,15
85269888	13.68	1.26	11,6
85269884	12.12	-2.91	15,21
85269881	14.46	-5.92	9,8
85269880	18.40	-6.65	10,12
85269879	3.29	0.41	31,8
85269878	7.84	-4.42	25,21
85269876	8.49	-6.06	26,26
85269872	10.51	-7.09	7,13
85269871	13.59	-6.54	17,11
85269869	13.32	-1.78	18,20
85269868	13.64	-1.54	20,22
85269865	9.95	-4.32	15,18
85269863	11.20	-5.12	22,25
85269859	2.87	1.60	34,8
85269854	13.76	0.55	9,20
85269851	13.12	-0.31	13,21
85269844	11.92	-1.02	19,10
85269842	11.59	-6.92	11,17
85269840	11.39	4.97	8,15
85269837	11.15	-4.91	23,10
85269831	11.58	-0.92	16,10
85269827	12.80	-7.17	9,15
85269825	9.20	-4.60	10,23
85269823	14.88	1.41	18,6
85269822	13.29	1.90	7,18
85269817	12.31	-4.89	19,2
85269813	9.20	3.22	11,23
85269805	12.55	-1.36	15,24
85269799	13.68	-4.57	11,7
85269797	8.28	-1.36	11,20
85269794	13.72	-7.06	11,14
85269793	8.37	1.45	10,23
85269790	12.84	-4.89	17,9
85269789	13.59	-4.22	11,13
85269786	11.63	2.07	12,18
85269784	8.82	3.55	5,13
85269781	13.67	-4.66	16,22
85269779	5.37	-2.03	14,21
85269773	14.47	-1.75	16,20
85269771	8.84	-2.92	6,24
85269765	11.57	-4.07	17,31
85269762	11.00	1.56	7,13
85269761	11.68	3.44	9,15
85269760	11.61	0.66	15,6
85269754	10.22	-1.17	28,16
85269753	3.51	0.21	33,18
85269750	12.87	-1.31	19,8
85269747	11.48	-2.81	21,6
85269745	12.82	-6.78	14,13
85269736	9.37	3.26	10,6
85269734	8.94	-5.80	10,13
85269731	9.67	-1.71	16,11
85269729	7.92	5.89	9,29
85269728	13.27	-6.44	11,10
85269725	6.94	3.98	9,24
85269723	10.45	-9.71	14,16
85269719	8.89	6.94	15,21
85269718	7.64	-1.36	8,20
85269713	5.62	1.66	7,4
85269703	9.68	-0.97	17,5
85269698		7.06	2
85269693	13.41	-4.56	8,10
85269692	16.53	-3.67	10,18
85269684	12.14	-4.40	12,19
85269683	9.20	-0.74	11,22
85269681	13.56	1.65	5,17
85269669	9.20	-1.36	10,25
85269665	11.76	-0.79	10,8
85269661	15.71	0.71	14,21
85269659	7.53	1.13	12,14
85269654	10.45	-1.44	13,17
85269652	10.27	-3.65	19,8
85269651	9.66	1.44	14,20
85269647	12.45	-5.64	15,25
85269646	8.80	4.98	25,27
85269645	14.64	-1.28	13,12
85269643	11.62	-1.03	17,13
85269641	11.48	-4.02	30,15
85269640	8.49	-4.74	23,22
85269637	9.66	-4.42	19,3
85269636	12.08	6.36	12,31
85269624	8.80	-4.74	26,22
85269621	18.69	-1.97	13,12
85269618	11.48	-4.94	19,23
85269617	11.14	-6.62	13,25
85269616	12.77	2.00	17,28
85269614	12.39	1.45	12,6
85269608	11.92	-4.00	11,32
85269605	13.09	-1.53	21,12
85269604	11.61	3.43	8,7
85269596		0.48	10
85269594	12.73	-6.91	10,16
85269593	13.05	-4.31	18,2
85269590	8.70	-0.74	7,9
85269586	14.70	-4.44	21,2
85269584	11.10	-5.12	13,24
85269583	13.13	-4.44	9,24
85269577	12.99	-4.36	18,2
85269576	14.81	-4.50	18,2
85269575	14.86	-5.99	13,12
85269573	7.67	-3.58	10,23
85269566	13.68	6.36	11,30
85269565	7.87	-0.90	15,10
85269559	11.06	-5.94	11,7
85269556	12.15	-4.62	22,8
85269548	12.13	-5.36	10,12
85269547	6.77	0.60	30,32
85269540	18.83	-3.24	12,11
85269538	10.11	-4.01	13,16
85269537	14.61	-5.97	16,22
85269533	13.85	-1.96	4,13
85269531	10.88	-4.91	14,17
85269521	12.50	-4.90	16,3
85269517	10.22	-0.96	31,11
85269516	10.51	7.83	12,17
85269510	12.13	-1.02	19,10
85269499		-0.47	17
85269495	8.71	0.08	10,17
85269492	12.84	-6.05	16,18
85269490	9.19	0.08	10,27
85269488	6.53	1.40	13,11
85269485	10.08	2.04	28,7
85269484	13.03	7.11	15,11
85269480	4.03	1.57	35,12
85269473	10.12	1.60	27,5
85269472	10.60	5.02	9,27
85269471	6.87	-4.20	31,14
85269468	11.63	2.07	17,23
85269462	11.58	-4.87	14,12
85269461	4.06	1.71	24,19
85269460	8.39	-1.49	8,19
85269459	9.19	-4.44	12,10
85269458	9.01	-2.87	22,15
85269456	10.97	1.15	10,21
85269452	13.15	-6.57	19,12
85269451	13.62	-7.16	4,11
85269450	11.08	-0.50	15,18
85269439	13.35	-1.36	13,25
85269435	9.20	-4.39	10,28
85269429	8.84	-4.60	13,7
85269428	9.93	-0.47	23,24
85269425	9.73	-4.91	15,2
85269420	10.46	3.90	11,20
85269419	13.98	-4.40	12,2
85269418	9.74	-7.78	18,12
85269417	12.61	-4.44	12,11
85269409	8.50	-0.66	6,18
85269406	7.12	-4.14	13,16
85269405	12.32	-1.22	13,8
85269404	13.57	3.84	12,25
85269402	13.18	2.16	7,25
85269399	12.52	-1.78	13,3
85269396	12.16	-6.77	18,15
85269394	10.65	-7.08	13,16
