ID,SEL_100,VAL,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
479511,0.97,0.97,-5.13,3.31,13.1,zwiterionic,zwiterionic,zwiterionic,346.336,-1.975,-5.9,187.22,6,7,green,green,green
1285690,0.11,0.46,3.51,10.2,3.08,neutral,neutral,neutral,425.481,4.244,3.51,114.47,3,6,yellow,yellow,yellow
448213,0.05,0.17,3.78,11.5,2.41,neutral,neutral,neutral,369.419,4.323,3.78,92.93,3,3,yellow,green,yellow
364983,0.68,0.88,6.8,12.16,1.59,neutral,neutral,neutral,515.955,6.523,6.8,75.01,1,4,red,red,red
113434,0.0,0.0,-1.23,1.72,10.55,zwiterionic,zwiterionic,zwiterionic,279.338,-0.003,-0.97,103.79,2,5,green,green,green
1297487,0.0,0.24,4.03,12.3,-3.43,neutral,neutral,neutral,405.235,5.286,4.03,91.27,2,3,yellow,yellow,red
1298332,0.14,0.6,3.56,11.45,3.52,neutral,neutral,neutral,416.433,4.38,3.56,123.64,3,5,yellow,yellow,yellow
167995,0.05,0.11,6.28,11.46,6.78,basic,neutral,neutral,527.657,6.102,6.37,80.13,2,4,red,red,red
150941,0.0,0.0,0.17,,-3.47,neutral,neutral,neutral,68.995,-0.462,0.17,52.49,0,3,green,green,green
36540,0.3,0.52,2.62,,-1.37,neutral,neutral,neutral,330.769,2.207,2.62,61.82,0,3,green,green,yellow
1311881,0.02,0.04,5.53,11.46,-1.57,neutral,neutral,neutral,335.787,5.709,5.53,61.8,2,3,red,green,red
378315,0.66,0.75,3.33,5.67,-6.88,acidic,acidic,acidic,366.837,5.908,5.0,54.37,1,3,yellow,green,yellow
633725,0.81,0.81,2.58,8.66,5.49,neutral,neutral,neutral,430.54,1.887,2.61,86.71,2,4,green,yellow,yellow
1287805,0.12,0.5,5.12,11.28,5.0,neutral,neutral,neutral,444.481,5.812,5.12,93.18,3,3,red,yellow,red
630403,0.05,0.35,0.39,,8.2,basic,basic,neutral,319.422,1.812,1.25,62.3,1,3,green,green,green
3854,0.58,0.9,2.53,9.26,7.8,basic,basic,neutral,267.322,2.461,2.87,43.7,2,2,green,green,yellow
