ID,SEL_100,SEL_5000,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
12428,0.22,0.74,-1.23,12.43,9.57,basic,basic,basic
1286009,0.0,0.03,-0.38,11.43,1.18,neutral,neutral,neutral
118069,0.09,0.6,-1.24,12.86,-1.15,neutral,neutral,neutral
441247,0.0,0.46,2.74,16.55,,neutral,neutral,neutral
77146,0.38,0.58,2.09,,9.06,basic,basic,basic
6310,0.04,0.73,-0.38,,-5.62,neutral,neutral,neutral
6317,0.04,0.35,1.3,11.69,4.28,neutral,neutral,neutral
319806,0.15,0.33,1.87,14.53,8.91,basic,basic,basic
360720,0.4,0.91,1.78,12.44,-0.91,neutral,neutral,neutral
110803,0.07,0.42,4.55,,4.33,neutral,neutral,neutral
193150,0.75,0.95,2.74,1.78,10.03,zwiterionic,zwiterionic,zwiterionic
1311147,0.01,0.29,2.61,8.13,4.08,neutral,neutral,neutral
1316268,0.02,0.05,5.18,11.23,1.89,neutral,neutral,neutral
83936,0.32,0.42,-5.4,0.87,6.47,zwiterionic,acidic,acidic
65415,0.0,0.49,0.25,1.29,9.51,zwiterionic,zwiterionic,zwiterionic
2093,0.46,0.62,2.04,17.72,7.76,basic,basic,neutral
86102,0.2,0.8,2.75,4.78,-5.16,acidic,acidic,acidic
357914,0.26,0.61,3.28,14.0,4.3,neutral,neutral,neutral
1302054,0.02,0.47,4.69,14.0,4.89,neutral,neutral,neutral
1305330,0.0,0.13,1.95,3.59,2.91,acidic,acidic,acidic
1305335,0.0,0.22,0.82,10.47,9.27,basic,basic,basic
145199,0.04,0.55,3.16,,3.26,neutral,neutral,neutral
1285935,0.01,0.02,2.27,10.32,-5.02,neutral,neutral,neutral
1178704,0.16,0.43,3.99,9.98,8.23,basic,basic,neutral
122337,0.0,0.5,3.5,10.03,2.8,neutral,neutral,neutral
1317895,0.0,0.14,3.6,10.7,3.74,neutral,neutral,neutral
114918,0.0,0.47,-4.11,1.48,9.52,zwiterionic,zwiterionic,zwiterionic
205165,0.06,0.2,2.71,14.01,9.03,basic,basic,basic
1290417,0.01,0.08,4.19,,1.62,neutral,neutral,neutral
1298665,0.0,0.08,3.78,,4.96,neutral,neutral,neutral
1327227,0.08,0.41,5.65,9.6,0.87,neutral,neutral,neutral
317955,0.02,0.12,1.28,11.54,10.3,basic,basic,basic
190902,0.0,0.93,3.71,10.51,3.62,neutral,neutral,neutral
869372,0.0,0.56,0.27,3.38,-0.85,acidic,acidic,acidic
77762,0.07,0.44,3.51,12.95,-5.15,neutral,neutral,neutral
183155,0.53,0.83,4.36,13.12,1.51,neutral,neutral,neutral
1320797,0.0,0.04,2.77,4.3,1.89,acidic,acidic,acidic
1318420,0.23,0.72,2.78,11.96,4.74,neutral,neutral,neutral
618930,0.2,0.35,0.5,,10.4,basic,basic,basic
1511697,0.03,0.18,0.42,12.08,10.22,basic,basic,basic
1511694,0.0,0.23,3.13,13.87,8.54,basic,basic,basic
1511693,0.0,0.09,1.77,13.85,8.54,basic,basic,basic
414372,0.02,0.12,2.51,8.23,6.73,basic,neutral,neutral
191342,0.24,0.71,1.69,,9.73,basic,basic,basic
479711,0.03,0.05,2.44,4.55,-6.59,acidic,acidic,acidic
368184,0.0,0.62,-0.03,11.84,-3.65,neutral,neutral,neutral
597216,0.14,0.75,2.53,10.72,-2.11,neutral,neutral,neutral
1305991,0.02,0.1,3.26,14.29,3.41,neutral,neutral,neutral
1322776,0.15,0.37,4.46,11.57,4.96,neutral,neutral,neutral
348204,0.72,0.92,2.91,13.94,8.65,basic,basic,basic
429156,1.0,1.0,-5.19,3.15,10.83,zwiterionic,zwiterionic,zwiterionic
1320244,0.08,0.28,3.55,13.28,7.07,basic,neutral,neutral
370658,0.2,0.59,1.41,9.24,-6.19,neutral,neutral,neutral
13494,0.07,0.42,5.79,,6.62,basic,neutral,neutral
571757,0.0,0.23,0.78,4.76,-2.8,acidic,acidic,acidic
138605,0.57,0.93,1.23,15.01,7.85,basic,basic,neutral
70931,0.0,0.43,1.72,9.04,3.66,neutral,neutral,neutral
631853,0.16,0.56,1.64,,6.69,basic,neutral,neutral
606509,0.25,1.0,-0.71,11.2,1.03,neutral,neutral,neutral
129620,1.0,1.0,0.25,,9.96,basic,basic,basic
1248996,0.57,1.0,2.45,16.29,8.73,basic,basic,basic
176714,0.0,0.0,-2.53,13.38,8.35,basic,basic,basic
587422,0.0,0.34,4.2,13.5,5.17,neutral,neutral,neutral
324802,0.0,0.0,3.23,8.5,-5.96,neutral,neutral,neutral
1072386,0.08,0.43,2.87,13.31,2.49,neutral,neutral,neutral
1072381,0.05,0.29,2.97,13.14,1.73,neutral,neutral,neutral
4542,0.04,0.92,-0.22,-2.42,-1.38,acidic,acidic,acidic
82335,0.81,0.93,-6.04,3.36,2.06,acidic,acidic,acidic
21040,0.0,0.68,-8.62,,11.22,basic,basic,basic
1319484,0.01,0.01,1.06,11.88,4.64,neutral,neutral,neutral
809724,0.69,0.81,2.51,9.7,7.78,basic,basic,neutral
49345,0.59,0.89,6.23,12.42,1.68,neutral,neutral,neutral
1326766,0.04,0.27,4.7,8.06,0.86,neutral,neutral,neutral
1309367,0.05,0.3,6.58,13.25,2.75,neutral,neutral,neutral
1309366,0.07,0.34,4.89,11.28,5.45,neutral,neutral,neutral
312426,0.79,1.0,2.9,13.28,-4.3,neutral,neutral,neutral
234707,0.69,0.88,0.63,9.82,9.21,basic,basic,basic
1303951,0.06,0.24,3.76,10.78,5.26,neutral,neutral,neutral
27185,0.06,0.45,6.53,,8.47,basic,basic,basic
1295084,0.02,0.14,4.06,7.7,-4.24,acidic,neutral,neutral
1317339,0.03,0.48,-0.48,13.75,9.62,basic,basic,basic
442943,0.73,0.94,-0.1,10.52,-1.09,neutral,neutral,neutral
11002,0.01,0.19,1.09,4.46,1.72,acidic,acidic,acidic
97,0.57,0.84,1.43,,7.24,basic,neutral,neutral
1308190,0.0,0.27,4.64,,4.54,neutral,neutral,neutral
16931,0.04,0.22,-2.44,3.79,10.24,zwiterionic,zwiterionic,zwiterionic
1321209,0.04,0.53,3.32,13.86,2.48,neutral,neutral,neutral
3689,0.0,0.68,-1.15,3.74,-4.89,acidic,acidic,acidic
3683,0.62,0.82,3.36,11.42,7.29,basic,neutral,neutral
371643,0.24,0.88,0.86,13.89,9.05,basic,basic,basic
573896,0.08,0.88,4.82,15.95,-0.1,neutral,neutral,neutral
17982,0.03,0.39,1.74,6.51,-5.37,acidic,acidic,neutral
933,0.84,0.97,-1.69,6.48,1.77,acidic,acidic,neutral
931,0.51,0.92,0.3,10.14,2.25,neutral,neutral,neutral
930,0.62,0.97,0.59,10.15,2.29,neutral,neutral,neutral
125915,0.0,0.0,-1.32,8.86,-0.41,neutral,neutral,neutral
28675,0.69,0.84,-1.84,4.38,9.33,zwiterionic,zwiterionic,zwiterionic
604828,0.0,0.35,-1.39,12.65,-0.75,neutral,neutral,neutral
86466,0.12,1.0,2.39,13.4,9.23,basic,basic,basic
499179,0.85,1.0,0.74,9.4,10.15,basic,basic,basic
1318082,0.02,0.28,0.99,15.26,5.99,neutral,neutral,neutral
1303652,0.02,0.21,1.63,10.93,5.88,neutral,neutral,neutral
144959,0.32,0.76,1.85,9.76,8.75,basic,basic,basic
29061,0.07,0.45,-8.68,-3.46,,acidic,acidic,acidic
1325059,0.0,0.11,1.17,10.93,5.88,neutral,neutral,neutral
307702,0.04,0.12,4.62,11.61,-1.24,neutral,neutral,neutral
304304,0.2,0.2,-2.57,,-9.94,neutral,neutral,neutral
46385,0.88,0.95,3.44,11.61,3.86,neutral,neutral,neutral
90182,0.19,1.0,2.61,,3.27,neutral,neutral,neutral
178796,0.25,0.39,-1.38,4.21,-2.72,acidic,acidic,acidic
332253,0.56,0.81,1.33,7.96,8.58,basic,basic,basic
1296161,0.34,0.7,1.74,13.73,9.26,basic,basic,basic
1296166,0.0,0.04,-2.54,4.09,-2.23,acidic,acidic,acidic
35374,0.87,1.0,4.41,,8.23,basic,basic,neutral
6104,0.51,0.89,2.95,9.83,-4.32,neutral,neutral,neutral
85553,0.06,0.45,1.2,6.7,-3.73,acidic,acidic,neutral
706000,0.79,0.89,2.92,14.28,9.43,basic,basic,basic
631324,0.57,0.81,4.44,8.24,-0.31,neutral,neutral,neutral
463849,0.0,0.92,3.09,4.54,-4.86,acidic,acidic,acidic
1305329,0.01,0.03,5.02,9.05,-2.38,neutral,neutral,neutral
1288804,0.05,0.16,4.52,10.76,3.98,neutral,neutral,neutral
1317207,0.0,0.04,1.3,9.41,1.16,neutral,neutral,neutral
442085,0.1,0.4,4.53,11.41,1.55,neutral,neutral,neutral
442087,0.09,0.23,4.36,11.57,0.8,neutral,neutral,neutral
130885,0.5,0.8,3.07,16.06,3.28,neutral,neutral,neutral
1327871,0.0,0.14,3.63,10.34,2.46,neutral,neutral,neutral
1327872,0.01,0.05,1.11,10.05,1.29,neutral,neutral,neutral
1359851,0.0,0.0,5.09,14.14,8.06,basic,basic,neutral
470511,0.05,0.44,2.43,12.66,6.26,basic,neutral,neutral
1292312,0.03,0.16,5.5,11.45,-1.25,neutral,neutral,neutral
63401,0.94,0.96,4.09,10.5,2.4,neutral,neutral,neutral
344363,0.28,0.74,1.57,17.11,9.24,basic,basic,basic
139691,0.0,0.0,0.59,13.81,-0.59,neutral,neutral,neutral
1306138,0.04,0.06,3.33,13.0,-1.05,neutral,neutral,neutral
1326773,0.11,0.43,6.54,12.39,2.77,neutral,neutral,neutral
1325450,0.02,0.08,1.71,14.54,3.2,neutral,neutral,neutral
1276936,0.05,0.26,-0.97,12.6,9.99,basic,basic,basic
1324014,0.0,0.93,1.4,15.26,-0.88,neutral,neutral,neutral
1315331,0.01,0.04,3.15,14.3,3.51,neutral,neutral,neutral
474710,0.0,0.63,-2.73,3.43,,acidic,acidic,acidic
221122,0.0,0.0,-1.74,13.11,4.99,neutral,neutral,neutral
524371,0.62,0.66,5.36,,-0.12,neutral,neutral,neutral
1303073,0.04,0.25,3.36,12.95,1.29,neutral,neutral,neutral
570645,0.0,0.09,-5.59,-3.03,,acidic,acidic,acidic
164609,0.03,0.58,3.32,13.61,8.7,basic,basic,basic
331628,0.28,0.5,3.64,7.79,3.05,acidic,neutral,neutral
1322530,0.01,0.37,2.93,5.37,4.43,acidic,acidic,acidic
394282,0.97,1.0,4.32,10.34,-4.74,neutral,neutral,neutral
91489,0.14,0.91,2.32,14.44,7.43,basic,basic,neutral
27368,0.38,0.88,2.64,,9.05,basic,basic,basic
70674,0.15,0.38,-6.56,0.69,9.91,zwiterionic,zwiterionic,zwiterionic
1359850,0.0,0.5,5.15,12.99,8.02,basic,basic,neutral
1302370,0.14,0.38,2.1,9.89,4.15,neutral,neutral,neutral
135211,0.39,0.9,2.96,8.22,-3.69,neutral,neutral,neutral
581348,0.7,0.87,4.57,13.91,1.47,neutral,neutral,neutral
1301853,0.48,0.9,1.93,11.73,4.23,neutral,neutral,neutral
372912,0.26,0.69,-1.82,9.5,8.85,basic,basic,basic
1511212,0.13,1.0,2.29,8.91,-4.61,neutral,neutral,neutral
1511211,0.13,0.91,2.29,8.91,-4.62,neutral,neutral,neutral
15330,0.31,1.0,2.44,3.7,-4.28,acidic,acidic,acidic
63535,0.73,0.73,-6.68,3.16,2.24,acidic,acidic,acidic
596250,0.05,0.14,3.59,9.59,1.06,neutral,neutral,neutral
1309899,0.06,0.3,1.28,11.69,1.68,neutral,neutral,neutral
318317,0.25,1.0,2.95,4.14,-2.88,acidic,acidic,acidic
122252,0.42,0.74,2.42,,-1.37,neutral,neutral,neutral
87051,0.53,0.71,-1.17,3.39,7.73,zwiterionic,zwiterionic,acidic
12434,0.26,0.76,-5.87,2.94,4.83,acidic,acidic,acidic
42367,0.0,0.0,-11.61,2.84,-3.66,acidic,acidic,acidic
446780,0.05,0.27,1.45,5.17,-4.13,acidic,acidic,acidic
234867,0.58,0.9,4.4,14.5,7.33,basic,neutral,neutral
611222,0.02,0.59,-0.32,7.32,5.68,acidic,acidic,neutral
611221,0.0,0.19,0.2,7.45,5.96,acidic,neutral,neutral
611224,0.36,1.0,-0.69,12.71,-2.31,neutral,neutral,neutral
1286193,0.0,0.05,1.91,3.33,1.88,acidic,acidic,acidic
684841,0.0,0.05,3.7,14.02,-3.23,neutral,neutral,neutral
549980,0.11,0.21,1.31,13.52,8.78,basic,basic,basic
2249,0.39,0.64,0.96,9.99,9.39,basic,basic,basic
2246,0.22,0.45,2.62,15.17,8.23,basic,basic,neutral
2241,0.0,0.41,2.9,9.71,-4.88,neutral,neutral,neutral
685240,0.0,0.26,-2.47,12.33,5.56,neutral,neutral,neutral
1301146,0.0,0.07,4.82,11.23,1.89,neutral,neutral,neutral
35420,0.02,0.57,-1.08,10.37,8.62,basic,basic,basic
1323698,0.01,0.29,1.33,8.38,1.88,neutral,neutral,neutral
1304825,0.03,0.16,4.42,14.49,5.01,neutral,neutral,neutral
1302286,0.78,0.94,1.85,14.14,9.55,basic,basic,basic
10099,0.08,0.72,0.36,14.09,9.67,basic,basic,basic
1370,0.32,0.71,0.36,14.09,9.67,basic,basic,basic
1443973,0.4,0.87,3.31,,8.85,basic,basic,basic
2080,0.15,0.38,2.23,17.22,7.77,basic,basic,neutral
2084,0.65,0.91,0.16,3.95,-4.88,acidic,acidic,acidic
1318086,0.0,0.52,3.72,4.45,3.21,acidic,acidic,acidic
1323456,0.2,0.57,4.13,11.28,4.96,neutral,neutral,neutral
303190,0.0,0.44,4.19,9.64,2.29,neutral,neutral,neutral
1293474,0.0,0.01,2.26,,8.74,basic,basic,basic
1308345,0.25,0.66,5.2,10.39,6.59,basic,neutral,neutral
616367,0.01,0.27,2.22,9.42,10.03,basic,basic,basic
267163,0.88,0.98,2.82,13.59,2.39,neutral,neutral,neutral
12506,0.14,0.47,1.57,12.44,8.38,basic,basic,basic
93995,0.08,0.96,2.73,14.46,6.06,basic,neutral,neutral
202979,0.0,0.33,-4.31,2.79,-3.86,acidic,acidic,acidic
407549,0.09,0.4,2.71,19.47,8.18,basic,basic,neutral
9097,0.86,0.99,2.92,10.96,-3.05,neutral,neutral,neutral
27519,0.48,0.76,3.38,17.34,7.16,basic,neutral,neutral
312117,0.6,0.85,4.42,4.5,3.18,acidic,acidic,acidic
15890,0.02,0.39,1.32,14.54,-2.0,neutral,neutral,neutral
