INDEX,SMILES,ID,STATE_50,VAL,logD
98,CC(C)(C)/[N+](=C/c1ccc(cc1S(=O)(=O)[O-])S(=O)(=O)[O-])/[O-].[Na+].[Na+],168021-79-2,acidic,1.35,-3.04
99,CN(CCc1ccc(cc1)NS(=O)(=O)C)CCOc2ccc(cc2)NS(=O)(=O)C,115256-11-6,basic,5.2,-1.05
100,C[C@H]1C2[C@@H](C(=O)N2C(=C1S[C@@H]3C[C@H](NC3)CNS(=O)(=O)N)C(=O)O)[C@H](C)O,148016-81-3,zwitterionic,3.26,-5.57
101,Cc1cc(c(cc1C(=O)NC(=N)N)S(=O)(=O)C)n2cccc2,176644-21-6,neutral,8.2,0.86
102,CCCn1c2c(c(=O)[nH]c1=O)nc[nH]2,41078-02-8,neutral,4.0,-0.15
103,CC[C@@H](CO)NCCN[C@@H](CC)CO,74-55-5,basic,10.0,-2.25
104,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)OS(=O)(=O)O)O,75803-36-0,acidic,1.3,1.58
105,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)OS(=O)(=O)O,24560-70-1,acidic,4.7,1.05
106,c1c(nc(s1)NC(=N)N)CSCCC(=N)NS(=O)(=O)N,76824-35-6,basic,6.6,-1.79
107,CN1CCN(CC1)c2c(cc3c(c2F)n(cc(c3=O)C(=O)O)CCF)F,79660-72-3,acidic,2.4,0.1
108,Cc1c(c(no1)c2c(cccc2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,5250-39-5,acidic,2.4,-0.84
109,c1cc(c(cc1F)F)C(Cn2cncn2)(Cn3cncn3)O,86386-73-4,neutral,0.31,0.56
110,c1c(c([nH]c(=O)n1)N)F,2022-85-7,neutral,2.0,-1.01
111,c1c(c2c([nH]1)c(=O)[nH]cn2)[C@H]3[C@@H]([C@@H]([C@H](N3)CO)O)O,209799-67-7,basic,1.56,-3.61
112,C(=O)(O)P(=O)(O)O,4428-95-9,acidic,2.1,-7.58
113,C[C@H]1[C@H](O1)P(=O)(O)O,23155-02-4,acidic,2.0,-3.18
114,c1cc(oc1)CNc2cc(c(cc2C(=O)O)S(=O)(=O)N)Cl,54-31-9,acidic,1.6,-1.25
115,C1CCC(CC1)(CC(=O)O)CN,60142-96-3,zwitterionic,1.7,-1.27
116,c1nc2c(=O)[nH]c(nc2n1COC(CO)CO)N,82410-32-0,neutral,4.6,-2.18
117,CC1CN(CCN1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)O)C4CC4)F,112811-59-3,zwitterionic,2.8,-0.58
118,C[C@@H]([C@@](Cn1cncn1)(c2ccc(cc2F)F)O)S(=O)(=O)C,120924-80-3,neutral,0.19,0.27
119,C[C@H]([C@@H]1CC[C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)N,1403-66-3,basic,1.0,-12.03
