INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
254,C[C@@H]1C(=O)O[C@@H]2[C@]1([C@@]34C(=O)O[C@H]5[C@]3(C2)[C@@]6([C@@H](C5)C(C)(C)C)[C@H](C(=O)O[C@H]6O4)O)O,464397,neutral,1.7,0.34,408.399,-1.933,0.34,128.59,2,9,green,yellow,green
255,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COc3ccccc3)C(=O)O)C,24806,acidic,1.7,-2.64,350.39,2.136,0.76,95.94,1,5,green,green,green
256,CC(C)NCC(COc1ccc(cc1)NC(=O)C)O,1380,basic,1.7,-1.39,266.336,1.345,0.83,70.59,3,3,green,green,green
257,CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,1333,basic,1.7,-0.7,341.426,0.863,0.22,101.73,2,4,green,green,green
258,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)CO)O)N)O,78759,basic,1.8,0.1,543.519,0.435,0.86,206.07,6,11,green,red,green
259,c1ccc(cc1)CCN2CCC3(CC2)CNC(=O)O3,581798,basic,1.8,0.03,260.332,1.963,1.6,41.57,1,2,green,green,green
260,CC(C)(C)NCC(COc1cccc2c1C[C@@H]([C@@H](C2)O)O)O,27570,basic,1.8,-1.44,309.401,1.654,0.87,81.95,4,4,green,green,green
261,c1cc(ccc1O)OCC(CNCCNC(=O)N2CCOCC2)O,122859,basic,1.9,-1.97,339.387,0.358,-0.82,103.29,4,5,green,green,green
262,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,448986,neutral,2.1,-7.77,645.605,-3.051,-7.61,321.17,14,18,green,red,green
263,c1cc(c(cc1OCC(F)(F)F)C(=O)NCC2CCCCN2)OCC(F)(F)F,27588,basic,2.1,1.01,414.343,3.541,3.19,59.59,2,3,yellow,yellow,green
264,C[C@](Cc1ccc(c(c1)O)O)(C(=O)O)N,3730,zwitterionic,2.1,-1.37,211.215,-0.807,-1.5,103.78,3,4,green,green,green
265,CN(C)CCc1c[nH]c2c1cc(cc2)C[C@H]3COC(=O)N3,196215,basic,2.2,-0.09,287.357,2.274,2.04,57.36,2,2,green,green,green
266,CCN(CC)CCCC(C)Nc1ccnc2c1ccc(c2)Cl,6579,basic,2.3,0.88,319.872,4.534,3.93,28.16,1,1,yellow,green,green
267,CN(C)Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,151412,neutral,2.6,2.84,351.833,2.293,2.24,46.31,0,3,green,green,yellow
268,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,570147,basic,2.6,2.22,747.953,3.927,3.24,182.91,4,13,yellow,red,yellow
269,CC[C@@]1(C[C@H]2C[C@@](c3c(c4ccccc4[nH]3)CCN(C2)C1)(c5cc6c(cc5OC)N([C@@H]7[C@]68CCN9[C@H]8[C@@](C=CC9)([C@H]([C@@]7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC)O,71516,basic,2.6,1.81,810.974,4.715,4.18,154.1,3,9,yellow,red,green
