INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
75,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](c5ccccc5)NC(=O)OC(C)(C)C)O)O)OC(=O)c6ccccc6)(CO4)OC(=O)C)OC)C)OC,183133-96-2,neutral,11.0,4.2,835.932,5.664,4.2,202.45,3,14,yellow,red,red
76,Cn1cnc2c1c(=O)n(c(=O)n2C)C,58-08-2,neutral,1.4,-0.55,194.191,-0.536,-0.55,61.82,0,3,green,green,green
77,CC(C)C[C@@H](C(=O)[C@]1(CO1)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCc3ccccc3)NC(=O)CN4CCOCC4,868540-17-4,neutral,39.5,4.2,719.91,4.653,4.2,158.47,4,7,yellow,red,red
78,COc1ccccc1OCCNCC(COc2cccc3c2c4ccccc4[nH]3)O,72956-09-3,basic,7.8,2.07,406.474,3.757,3.42,75.74,3,4,yellow,yellow,yellow
79,CCN(CC)c1ccc2cc(oc2c1)C(=O)Nc3ccc4c(c3)cc([nH]4)C(=O)N5C[C@H](c6c5cc(c7c6c(c[nH]7)C)OC(=O)Nc8ccccc8)CCl,119813-10-4,neutral,2.9,7.43,729.223,8.244,7.43,135.7,4,5,red,red,red
80,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(c4ccc(cc4)O)O)O)C(CCN)O)O)NCCN)O,162808-62-0,basic,0.14,-7.54,1093.313,-3.575,-4.87,412.03,16,15,green,red,green
81,CN(C)N=Nc1ccc(cc1)C(=O)O,7203-91-0,acidic,1.3,-1.17,193.203,2.066,2.02,65.26,0,4,green,green,green
82,CCO/N=C(/c1nc(sn1)NP(=O)(O)O)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)Sc4nc(cs4)c5cc[n+](cc5)C)C(=O)[O-],229016-73-3,acidic,83.6,-6.83,684.685,-2.015,-3.73,223.24,4,12,green,red,green
83,CC(C)c1c(c(c(c(n1)C(C)C)/C=C/[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)COC,145599-86-6,acidic,2.9,1.15,459.55,3.514,2.58,99.88,2,6,green,yellow,green
84,c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)N(=O)=O,56-75-7,neutral,2.4,0.66,323.129,0.998,0.88,115.38,3,5,green,green,green
85,Cc1c(scn1)CCCl,533-45-9,neutral,33.0,1.77,161.652,2.367,1.77,12.89,0,1,green,green,green
86,CC(C)C(=O)OCC(=O)[C@]12[C@@H](C[C@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@@H](O2)C6CCCCC6,126544-47-6,neutral,33.3,5.32,540.688,4.509,5.32,99.13,1,7,red,red,red
87,COc1c(cc(cc1)[C@]2(CC[C@@H](CC2)C(=O)O)C#N)OC3CCCC3,153259-65-5,acidic,0.5,0.38,343.417,2.674,3.9,79.55,0,5,yellow,green,green
88,C[C@H](c1cccc2c1cccc2)NCCCc3cccc(c3)C(F)(F)F,226256-56-0,basic,18.3,3.53,357.412,6.424,6.27,12.03,1,0,red,green,yellow
89,COc1cc(c(cc1C(=O)N[C@H]2CC[N@@](C[C@H]2OC)CCCOc3ccc(cc3)F)Cl)N,81098-60-4,basic,1.5,1.59,465.945,3.723,2.49,86.05,2,4,green,yellow,green
90,CN(C)CCCC1(c2ccc(cc2CO1)C#N)c3ccc(cc3)F,59729-33-8,basic,4.3,1.41,324.392,3.85,3.76,36.26,0,2,yellow,green,green
91,CC(=O)O[C@@H]1[C@@H](Sc2cc(ccc2N(C1=O)CCN(C)C)Cl)c3ccc(cc3)OC,96125-53-0,basic,13.7,2.5,448.963,3.866,3.33,59.08,0,4,yellow,yellow,yellow
92,CCCC(=O)OCOC(=O)C1=C(NC(=C(C1c2cccc(c2Cl)Cl)C(=O)OC)C)C,167221-71-8,neutral,142.0,4.09,456.316,4.858,4.09,90.93,1,6,yellow,yellow,red
93,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl,18323-44-9,basic,4.5,0.65,424.983,1.953,1.04,102.26,4,5,green,yellow,green
94,CN(C)CCCN1c2ccccc2CCc3c1cc(cc3)Cl,303-49-1,basic,8.2,3.09,314.852,4.619,4.88,6.48,0,0,yellow,green,yellow
95,CN1CCN(CC1)C2=Nc3cc(ccc3Nc4c2cccc4)Cl,5786-21-0,basic,2.5,2.89,326.823,3.336,3.4,30.87,1,1,yellow,green,yellow
96,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3ccccc3)C(=O)OC,50-36-2,basic,32.0,0.82,303.353,2.313,2.28,55.84,0,4,green,green,green
97,COc1ccc(cc1OP(=O)(O)O)/C=C\c2cc(c(c(c2)OC)OC)OC,222030-63-9,acidic,5.7,-0.51,396.328,2.838,2.72,103.68,2,8,green,green,green
98,CN1[C@@H](CCC1=O)c2cccnc2,486-56-6,neutral,0.89,0.21,176.215,0.23,0.21,33.2,0,2,green,green,green
99,c1ccc2c(c1)ccc(=O)o2,91-64-5,neutral,23.6,1.78,146.143,1.676,1.78,30.21,0,2,green,green,green
100,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,59865-13-3,neutral,7.5,3.64,1202.611,4.719,3.64,278.8,5,12,yellow,red,yellow
101,CCC[C@@H](c1cccnc1)Nc2c(cnc(n2)c3ccc(c(c3)OC)NC(=O)NCC)C,917111-44-5,neutral,22.2,4.34,434.534,4.032,4.35,101.06,3,5,yellow,yellow,red
102,c1cn(c(=O)nc1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,147-94-4,neutral,41.67,-2.8,243.217,-1.359,-2.8,130.83,4,6,green,green,green
103,c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)NC3=O)N(=O)=O,7261-97-4,neutral,0.43,1.25,314.253,2.475,1.26,120.73,1,6,green,green,green
104,CCOc1ccc(cc1)Cc2cc(ccc2Cl)C3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,461432-26-8,neutral,3.0,2.11,408.873,3.176,2.11,99.38,4,6,green,yellow,yellow
105,c1ccc(cc1)C(c2ccccc2)([C@@H]3CCN(C3)CCc4ccc5c(c4)CCO5)C(=O)N,133099-04-4,basic,12.0,1.9,426.55,3.885,4.54,55.56,1,2,yellow,yellow,green
106,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,206361-99-1,neutral,7.81,2.82,547.664,3.664,2.82,140.42,3,7,green,red,yellow
107,c1nc(nc(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)N,2353-33-5,neutral,130.0,-2.16,228.205,-0.249,-2.16,123.49,3,6,green,green,green
108,c1ccc(c(c1)c2nc(n(n2)c3ccc(cc3)C(=O)O)c4ccccc4O)O,201530-41-8,acidic,0.84,1.92,373.362,3.164,4.74,107.95,2,6,yellow,green,green
109,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,50-02-2,neutral,3.3,1.68,392.461,0.978,1.68,94.83,3,5,green,green,green
110,CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,3239-44-9,basic,11.0,0.79,231.257,3.723,3.47,12.03,1,0,yellow,green,green
111,CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(c(c1)Cl)Cl,119817-90-2,acidic,3.7,0.24,461.379,3.628,3.37,95.94,1,5,yellow,yellow,green
112,Cc1cccc(c1C)[C@H](C)c2c[nH]cn2,145108-58-3,neutral,11.0,3.34,200.28,2.689,3.39,28.68,1,1,yellow,green,yellow
113,COC(=O)[C@H](c1ccccc1)[C@H]2CCCCN2,40431-64-9,basic,6.67,0.57,233.306,1.92,2.25,38.33,1,2,green,green,green
114,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H]([C@H](c1ccccc1)NC(=O)c2ccccc2)C(=O)O[C@H]3C[C@]4([C@H]([C@H]5[C@@]([C@H](C[C@@H]6[C@]5(CO6)OC(=O)C)O)(C(=O)[C@@H](C(=C3C)C4(C)C)OC(=O)C)C)OC(=O)c7ccccc7)O,199796-52-6,neutral,0.03,10.96,1164.379,13.113,10.96,227.36,3,15,red,red,red
115,C(C(=O)O)(Cl)Cl,79-43-6,acidic,5.3,-2.46,128.942,0.218,1.06,37.3,0,2,green,green,green
116,c1[nH]c(=O)c2c(n1)n(cn2)[C@H]3CC[C@H](O3)CO,69655-05-6,neutral,11.0,-0.88,236.227,-0.287,-0.87,93.03,2,5,green,green,green
117,CC[C@]1(CC(=O)OCc2c1cc-3n(c2=O)Cc4c3nc5cc(c(cc5c4)F)F)O,220997-97-7,neutral,8.42,1.44,398.36,2.008,1.44,81.42,1,5,green,green,green
118,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](c3ccnc4c3cc(cc4)OC)O,1435-55-8,basic,4.2,1.04,326.433,3.026,2.82,45.59,1,3,green,green,green
119,C[C@H](CCc1ccccc1)NC[C@@H](c2ccc(c(c2)C(=O)N)O)O,75659-07-3,basic,29.0,1.26,328.405,2.668,1.34,95.58,4,3,green,green,green
120,CC(=O)O[C@@H]1[C@@H](Sc2ccccc2N(C1=O)CCN(C)C)c3ccc(cc3)OC,42399-41-7,basic,13.0,1.89,414.518,3.101,2.73,59.08,0,4,green,yellow,green
121,CN(C)CCOC(c1ccccc1)c2ccccc2,58-73-1,basic,9.8,2.17,255.355,3.257,3.65,12.47,0,1,yellow,green,yellow
