INDEX,SMILES,ID,STATE_50,VAL,logD
98,CN1[C@@H](CCC1=O)c2cccnc2,486-56-6,neutral,0.89,0.21
99,c1ccc2c(c1)ccc(=O)o2,91-64-5,neutral,23.6,1.78
100,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,59865-13-3,neutral,7.5,3.64
101,CCC[C@@H](c1cccnc1)Nc2c(cnc(n2)c3ccc(c(c3)OC)NC(=O)NCC)C,917111-44-5,neutral,22.2,4.34
102,c1cn(c(=O)nc1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,147-94-4,neutral,41.67,-2.8
103,c1cc(ccc1c2ccc(o2)/C=N/N3CC(=O)NC3=O)N(=O)=O,7261-97-4,neutral,0.43,1.25
104,CCOc1ccc(cc1)Cc2cc(ccc2Cl)C3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,461432-26-8,neutral,3.0,2.11
105,c1ccc(cc1)C(c2ccccc2)([C@@H]3CCN(C3)CCc4ccc5c(c4)CCO5)C(=O)N,133099-04-4,basic,12.0,1.9
106,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,206361-99-1,neutral,7.81,2.82
107,c1nc(nc(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)N,2353-33-5,neutral,130.0,-2.16
108,c1ccc(c(c1)c2nc(n(n2)c3ccc(cc3)C(=O)O)c4ccccc4O)O,201530-41-8,acidic,0.84,1.92
109,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,50-02-2,neutral,3.3,1.68
110,CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,3239-44-9,basic,11.0,0.79
111,CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(c(c1)Cl)Cl,119817-90-2,acidic,3.7,0.24
112,Cc1cccc(c1C)[C@H](C)c2c[nH]cn2,145108-58-3,neutral,11.0,3.34
113,COC(=O)[C@H](c1ccccc1)[C@H]2CCCCN2,40431-64-9,basic,6.67,0.57
114,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H]([C@H](c1ccccc1)NC(=O)c2ccccc2)C(=O)O[C@H]3C[C@]4([C@H]([C@H]5[C@@]([C@H](C[C@@H]6[C@]5(CO6)OC(=O)C)O)(C(=O)[C@@H](C(=C3C)C4(C)C)OC(=O)C)C)OC(=O)c7ccccc7)O,199796-52-6,neutral,0.03,10.96
115,C(C(=O)O)(Cl)Cl,79-43-6,acidic,5.3,-2.46
116,c1[nH]c(=O)c2c(n1)n(cn2)[C@H]3CC[C@H](O3)CO,69655-05-6,neutral,11.0,-0.88
117,CC[C@]1(CC(=O)OCc2c1cc-3n(c2=O)Cc4c3nc5cc(c(cc5c4)F)F)O,220997-97-7,neutral,8.42,1.44
118,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](c3ccnc4c3cc(cc4)OC)O,1435-55-8,basic,4.2,1.04
119,C[C@H](CCc1ccccc1)NC[C@@H](c2ccc(c(c2)C(=O)N)O)O,75659-07-3,basic,29.0,1.26
120,CC(=O)O[C@@H]1[C@@H](Sc2ccccc2N(C1=O)CCN(C)C)c3ccc(cc3)OC,42399-41-7,basic,13.0,1.89
121,CN(C)CCOC(c1ccccc1)c2ccccc2,58-73-1,basic,9.8,2.17
122,CCC(C)(C)NCC(COc1ccccc1C(=O)CCc2ccccc2)O,81447-80-5,basic,11.0,1.88
123,c1ccc2c(c1)[nH]c(=O)n2CCCN3CCC(CC3)n4c5ccc(cc5[nH]c4=O)Cl,57808-66-9,neutral,9.5,2.75
124,c1cc(c(cc1CCN)O)O,51-61-6,basic,65.9,-1.45
125,COc1cc2c(cc1OC)nc(nc2N)N3CCN(CC3)C(=O)C4COc5ccccc5O4,74191-85-8,neutral,1.6,1.91
126,CN(C)CC/C=C/1\c2ccccc2COc3c1cccc3,1668-19-5,basic,14.0,1.51
127,C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cc(c(=O)[nH]c2=O)F)O)O,3094-09-5,neutral,11.0,-1.35
128,CCCCCCCCOCCOC(=O)CN(CC(=O)O)c1ccccc1OCCOc2ccccc2N(CC(=O)O)CC(=O)OCCOCCCCCCCC,222315-88-0,acidic,14.0,1.37
129,CCCCc1c(c2cc(ccc2o1)NS(=O)(=O)C)C(=O)c3ccc(cc3)OCCCN(CCCC)CCCC,141626-36-0,basic,33.33,3.96
130,CCOc1ccc(cc1OCC)/C=C\2/c3cc(c(cc3CCN2)OCC)OCC,14009-24-6,neutral,3.5,3.89
131,CC1=NN(C(=O)C1)c2ccccc2,89-25-8,neutral,1.42,1.53
132,c1cc(c2c(c1)OCCO2)N3CCNCC3,98224-03-4,basic,8.0,-0.38
133,CCC#CC[C@H](C)[C@@H](C#C[C@@H]1[C@@H](C[C@H]2[C@@H]1CC(=CCOCCCC(=O)O)C2)O)O,90693-76-8,acidic,66.2,0.46
134,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C,183321-74-6,neutral,1.23,3.2
135,CC(C)NCC(COc1ccc(cc1)CCC(=O)OC)O,81147-92-4,basic,290.0,-0.4
136,Cc1cnc(c(c1OC)C)C[S@@](=O)c2[nH]c3ccc(cc3n2)OC,119141-88-7,neutral,3.85,2.43
137,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,50-28-2,neutral,30.0,3.74
138,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O)OC(=O)N(CCCl)CCCl,4891-15-0,acidic,0.94,1.97
139,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)O,57-63-6,neutral,7.0,3.9
140,CCNCC(c1cccc(c1)O)O,709-55-7,basic,14.0,-1.07
141,CCOC(=O)c1cncn1[C@H](C)c2ccccc2,33125-97-2,neutral,13.0,2.5
142,Cc1ccc(cn1)c2c(cc(cn2)Cl)c3ccc(cc3)S(=O)(=O)C,202409-33-4,neutral,0.79,2.79
143,CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5cc(c(c6c5c4[C@H](CC6)N)C)F)O,276680-63-8,basic,0.96,-0.71
144,CCOC(=O)C1=C(NC(=C(C1c2cccc(c2Cl)Cl)C(=O)OC)C)C,72509-76-3,neutral,11.0,3.44
145,c1cc(ccc1[C@H]2CNCCc3c2cc(c(c3Cl)O)O)O,67227-56-9,basic,41.5,1.26
146,C[C@H](c1cccc(c1)Oc2ccccc2)C(=O)O,29679-58-1,acidic,0.6,0.47
147,CC(Cc1ccc(cc1)O)NCC(c2cc(cc(c2)O)O)O,13392-18-2,basic,29.0,0.33
148,Cc1c([nH]c(=O)[nH]1)C(=O)c2ccc(cc2)SC,77671-31-9,neutral,29.0,1.84
149,c1ccc(cc1)CCN2CCC3(CC2)CNC(=O)O3,5053-06-5,basic,2.6,0.03
150,CCC(=O)N(c1ccccc1)C2CCN(CC2)CCc3ccccc3,437-38-7,basic,4.7,2.43
151,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,98319-26-7,neutral,2.4,3.07
152,CCCCCCCCc1ccc(cc1)CCC(CO)(CO)N,162359-55-9,basic,1.53,2.12
153,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)F,78755-81-4,neutral,16.0,1.39
154,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]35C)F)O,3385-03-3,neutral,9.5,1.56
155,CN1c2ccc(cc2C(=NCC1=O)c3ccccc3F)N(=O)=O,1622-62-4,neutral,1.4,2.55
156,c1ccc2c(c1)C(=O)OC23c4ccc(cc4Oc5c3ccc(c5)O)O,2321-07-5,neutral,1.3,3.86
157,c1c(c(=O)[nH]c(=O)[nH]1)F,51-21-8,neutral,26.0,-0.81
158,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CCN(CC4)CCO,69-23-8,basic,9.7,3.09
159,CCOC(=O)Nc1ccc(nc1N)NCc2ccc(cc2)F,56995-20-1,basic,1.6,2.32
160,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,80474-14-2,neutral,17.0,3.72
161,CC(C)n1c2ccccc2c(c1/C=C/[C@@H](C[C@@H](CC(=O)O)O)O)c3ccc(cc3)F,93957-54-1,acidic,16.0,1.06
162,COCCCC/C(=N\OCCN)/c1ccc(cc1)C(F)(F)F,54739-18-3,basic,23.0,1.05
163,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2CNc3c(c(=O)nc([nH]3)N)N2C=O,58-05-9,acidic,5.8,-8.68
164,C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H]([N@](CCO2)Cc3[nH]n(c(=O)n3)P(=O)(O)O)c4ccc(cc4)F,172673-20-0,acidic,18.6,-1.64
165,c1cc(c(cc1F)F)C(Cn2cncn2)(Cn3cncn3)OP(=O)(O)O,194798-83-9,acidic,1.3,-3.36
166,c1ccc(cc1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)c3ccccc3,93390-81-9,acidic,3.5,-1.65
167,C[C@@](/C=C/[C@H]1CC=CC(=O)O1)([C@@H](C[C@H](/C=C\C=C/C=C/CO)O)OP(=O)(O)O)O,87810-56-8,acidic,1.2,-2.63
168,C[C@]12CC[C@@H]3c4ccc(cc4C[C@@H](C3[C@@H]1CC[C@@H]2O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F)O,129453-61-8,neutral,11.8,7.57
