ID	apKa1	bpKa1	atoms
244516	14.08	6.65	1,22
244125	14.08	7.38	21,23
243399	13.85	7.38	1,22
243803	14.08	5.88	1,22
244517	14.08	8.04	1,22
243398	14.08	6.67	1,22
243859	9.19	9.83	14,4
372321	14.08	8.12	1,22
238309	13.05	7.64	15,12
372316	13.06	9.23	8,4
372315	13.06	9.23	8,4
238219	13.06	9.23	7,4
372311		9.29	20
244126	14.08	8.79	21,23
243521	13.85	8.79	1,22
372337	14.08	6.74	19,21
372320	14.09	9.42	1,4
372319	14.08	5.85	1,22
372314	14.08	6.78	13,10
372313	14.09	9.42	1,4
372310	14.08	6.76	14,11
372309	14.09	9.42	11,13
372304	14.08	6.72	24,26
372303	14.06	6.68	15,17
372301	14.07	6.76	14,16
372300	14.07	6.74	13,15
372297	14.06	6.01	14,16
372296	14.07	6.75	14,16
372375	14.06	6.73	10,12
372374	14.08	6.71	21,23
372369	14.08	6.80	13,10
372368	14.07	6.76	13,15
372363	14.07	6.76	12,14
372362		9.17	5
372361		9.14	12
372352	15.33	-4.85	3,4
372351	15.22	-4.80	3,4
372350	15.94	5.02	1,14
372345	14.08	6.78	11,13
372344	14.08	6.80	11,13
372341	3.41	-4.94	1,5
372340	16.32	-4.93	16,7
372339	13.75	7.86	3,6
372335	14.08	6.75	12,9
372334	14.08	8.03	1,23
372330	14.08	8.01	1,23
372329	14.07	8.03	1,16
372327	14.08	9.19	9,6
372326	14.08	8.01	12,14
372323	14.07	8.04	14,16
372322	14.08	6.67	14,11
372318	14.08	9.35	1,4
372317	14.08	9.27	8,5
244559	14.08	5.88	11,13
244560	14.08	6.67	11,13
372308	14.08	5.75	1,22
243664	14.07	6.65	12,14
244482	14.07	8.04	12,14
244485	13.73	7.43	30,26
243757	13.73	7.43	20,16
244521	14.07	9.13	7,4
244518	14.08	5.83	1,26
372295	14.06	-0.94	7,27
372373	16.34	7.51	25,11
372372	16.34	6.82	3,22
372367	14.06	-1.24	8,4
372366	14.07	-0.36	1,4
372360	14.07	3.93	1,4
372359	14.08	6.75	9,11
372349	14.08	6.73	10,12
372348	14.08	6.71	14,11
244192	14.07	2.56	12,9
372343	16.33	7.44	16,25
372338	14.08	6.74	20,22
