O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)OS(=C)(=C)O[C@H]1[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)O[C@@]1(COS(=O)(=O)O[Al](O)O)O[C@@H]2O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@H]2OS(=O)(=O)O[Al](O)O,1341364,A02BX02
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1,6772,A02BX03
CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,153476,A02BX06
CC(=CCC\C(=C\CC\C(=C\CCC(=O)OC\C=C(/C)\CCC=C(C)C)\C)\C)C,1377355,A02BX07
CS(=O)(=O)c1ccc(cc1)c2cn3ccccc3n2,1377804,A02BX10
COc1cc(cc(OC)c1OC)C(=O)NC2CCCNC2,990840,A02BX11
CC1(C)[C@H](CC[C@@]2(C)C1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5CC(C)(CC[C@]5(C)CC[C@@]34C)C(=O)O)OC(=O)CCC(=O)O,1383180,A02BX51
CC1(C)[C@H](CC[C@@]2(C)C1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5CC(C)(CC[C@]5(C)CC[C@@]34C)C(=O)O)OC(=O)CCC(=O)O,1383180,A02BX71
CC(=CCC\C(=C\CC\C(=C\CCC(=O)OC\C=C(/C)\CCC=C(C)C)\C)\C)C,1377355,A02BX77
CN1CCCN=C1COC(=O)C(O)(C2CCCCC2)c3ccccc3,418489,A03AA01
CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,418422,A03AA03
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc2ccc(OC)cc2,38293,A03AA04
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,321213,A03AA05
CCN(CC)CC(C)OC(=O)C1CCCCC1(O)C2CCCCC2,1377642,A03AA06
Cl.CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,674430,A03AA07
O=C(OCCN1CCCCC1)C2(CCCCC2)C3CCCCC3,1383352,A03AA08
CN(C)C(C)(C)COC(=O)C(O)(c1ccccc1)c2ccccc2,1383331,A03AA09
CCN1CCCC(C1)OC(=O)C(c2ccccc2)c3ccccc3,1046943,A03AA30
[Br-].C[N+]1(C)CCC(C1)OC(=O)C(O)(C2CCCC2)c3ccccc3,674978,A03AB02
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,675237,A03AB03
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCC1)c2cccs2,1383140,A03AB04
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc3ccccc13)C(C)C,654675,A03AB05
[Br-].CCCCCCCCOc1ccccc1C(=O)Nc2ccc(cc2)C(=O)OCC[N+](C)(CC)CC,1376043,A03AB06
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc3ccccc13,675215,A03AB07
CC[N+](CC)(CC)CCC(O)(C1CCCCC1)c2ccccc2,675305,A03AB08
CC(C)[N+](C)(CCC(C(=O)N)(c1ccccc1)c2ccccc2)C(C)C,675183,A03AB09
C[N+]1(C)CCN(CC(O)(C2CCCCC2)c3ccccc3)CC1,675276,A03AB10
C[N+]1(C)CCCC1COC(=O)C(O)(c2ccccc2)c3ccccc3,1383388,A03AB11
C[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3,469580,A03AB12
C[N+]1(C)CCCCC1COC(=O)C(O)(c2ccccc2)c3ccccc3,1223032,A03AB13
CC[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3,1042479,A03AB14
C[N+]1(C)CCC(=C(c2ccccc2)c3ccccc3)CC1,675291,A03AB15
[I-].C[N+]1(CCC(O)(c2ccccc2)c3cccs3)CCOCC1,1377067,A03AB17
[Br-].CC[N+]1(CC)CCC(=C(c2ccccc2)c3ccccc3)C1C,685195,A03AB18
[Br-].COC1CC(=C(c2cccs2)c3cccs3)C[N+](C)(C)C1,1379844,A03AB19
C[N+]1(CCC(C(=O)N)(c2ccccc2)c3ccccc3)CCCCC1,1225404,A03AB21
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,675237,A03AB53
CCCN(CCC)C(=O)C(Cc1ccc(OCCN(CC)CC)cc1)NC(=O)c2ccccc2,1376958,A03AC05
CN1[C@H]2CC(C[C@H]1[C@@H]3O[C@@H]23)OC(=O)[C@H](CO)c4ccccc4,675020,A04AD51
