Unnamed: 0,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
61,110803,45.0,%,neutral,4.55,,4.33,neutral,neutral,neutral,382.883,4.064,4.55,42.43,0,3,yellow,green,red
62,62259,32.4,%,basic,2.77,13.96,9.41,basic,basic,basic,477.038,4.364,4.77,43.78,1,2,yellow,yellow,yellow
63,230659,9.0,%,zwitterionic,-3.18,3.17,10.21,zwitterionic,zwitterionic,zwitterionic,405.488,-0.016,-3.41,132.96,2,5,green,yellow,green
64,5975,23.3,%,neutral,3.03,9.35,4.16,neutral,neutral,neutral,369.361,2.985,3.03,73.86,1,4,yellow,green,yellow
65,38727,14.5,%,neutral,1.91,14.98,5.87,neutral,neutral,neutral,256.091,2.342,1.93,90.71,2,3,green,green,green
66,486789,7.7,%,neutral,2.0,19.45,-3.35,neutral,neutral,neutral,371.387,4.095,2.0,103.55,1,7,green,green,green
67,4941,18.7,%,neutral,-0.69,13.61,3.35,neutral,neutral,neutral,137.139,-1.077,-0.69,68.01,2,2,green,green,green
68,5985,26.9,%,basic,0.72,11.71,9.47,basic,basic,basic,586.678,3.586,2.78,114.2,1,7,green,red,green
69,605,-2.4,%,basic,2.48,,9.2,basic,basic,basic,280.407,3.953,4.28,6.48,0,0,yellow,green,yellow
70,11674,-6.6,%,acidic,1.34,4.85,,acidic,acidic,acidic,206.281,3.501,3.84,37.3,0,2,yellow,green,green
71,712451,-4.2,%,basic,-10.57,11.41,9.83,basic,basic,basic,527.52,-4.391,-6.55,272.06,11,13,green,red,green
72,125940,9.6,%,zwitterionic,-3.74,3.61,8.13,zwitterionic,zwitterionic,acidic,172.182,-2.214,-4.12,83.63,1,3,green,green,green
73,139286,25.2,%,acidic,0.49,4.32,0.06,acidic,acidic,acidic,445.535,2.172,1.43,130.15,3,6,green,yellow,green
74,2046,22.3,%,acidic,-1.25,4.25,-1.52,acidic,acidic,acidic,330.744,2.03,1.75,122.63,2,5,green,green,green
75,430012,0.7,%,neutral,0.09,8.27,-0.26,neutral,neutral,neutral,260.249,0.517,0.14,85.82,1,4,green,green,green
76,54722,29.2,%,basic,1.05,,9.16,basic,basic,basic,318.335,2.667,2.8,56.84,1,3,green,green,green
77,65402,13.5,%,basic,3.43,15.59,8.43,basic,basic,basic,434.518,4.793,4.5,26.71,1,1,yellow,yellow,yellow
78,2223,14.3,%,basic,1.83,,9.8,basic,basic,basic,309.326,4.202,4.17,21.26,1,1,yellow,green,green
79,13758,7.5,%,neutral,0.56,12.71,2.56,neutral,neutral,neutral,306.271,0.019,0.56,81.65,1,5,green,green,green
80,81683,6.0,%,zwitterionic,2.93,4.04,9.01,zwitterionic,zwitterionic,zwitterionic,501.656,4.732,0.85,81.0,2,4,green,red,yellow
81,19915,22.6,%,basic,2.43,,8.77,basic,basic,basic,336.471,3.977,3.82,23.55,0,1,yellow,green,yellow
82,28331,-10.8,%,neutral,5.28,,-4.93,neutral,neutral,neutral,360.831,5.3,5.28,52.6,0,4,red,green,red
83,418483,20.4,%,basic,3.26,,10.07,basic,basic,basic,315.451,4.994,5.83,12.03,1,0,red,green,yellow
84,405365,18.4,%,neutral,3.44,19.46,-6.64,neutral,neutral,neutral,384.254,4.146,3.44,64.63,1,4,yellow,green,yellow
85,68607,8.5,%,neutral,1.16,9.33,-3.69,neutral,neutral,neutral,588.557,0.882,1.16,160.83,3,13,green,red,green
86,16847,4.1,%,acidic,-1.06,3.67,5.2,acidic,acidic,acidic,376.447,1.64,0.56,95.94,1,5,green,green,green
87,74911,17.1,%,neutral,-0.9,14.29,-3.11,neutral,neutral,neutral,247.247,-0.769,-0.9,90.37,2,4,green,green,green
88,421034,2.8,%,basic,2.76,17.11,8.37,basic,basic,basic,382.519,3.658,3.77,53.17,1,2,yellow,green,yellow
89,374719,18.2,%,neutral,4.46,12.52,-1.49,neutral,neutral,neutral,315.675,4.332,4.46,38.33,1,2,yellow,green,red
90,78759,26.6,%,basic,0.1,8.0,9.93,basic,basic,basic,543.519,0.435,0.86,206.07,6,11,green,red,green
91,33373,-17.3,%,neutral,1.91,12.67,7.24,basic,neutral,neutral,451.475,1.463,2.14,112.27,1,7,green,yellow,green
92,5638,19.9,%,basic,-1.05,10.15,8.99,basic,basic,basic,441.565,3.197,0.24,104.81,2,5,green,yellow,green
93,94571,-3.8,%,neutral,4.16,,,neutral,neutral,neutral,296.539,3.46,4.16,6.48,0,0,yellow,green,red
94,11143,8.6,%,basic,0.57,16.19,10.42,basic,basic,basic,339.474,3.188,3.47,59.22,1,2,yellow,green,green
95,1278,4.1,%,basic,1.89,12.86,8.18,basic,basic,neutral,414.518,3.101,2.73,59.08,0,4,green,yellow,green
96,581814,-4.7,%,acidic,1.92,7.15,-2.98,acidic,acidic,neutral,780.938,3.169,2.37,203.06,6,14,green,red,green
97,77456,-21.9,%,basic,1.08,,9.85,basic,basic,basic,271.397,3.317,3.49,12.47,0,1,yellow,green,green
